sim_time_s,key_index,letter,x,y,heading_deg
263.9500,13,k,40.000,13.012,-45.09
264.4820,4,d,43.005,9.998,-45.09
266.1910,5,o,50.004,5.998,58.91
266.7760,14,i,52.420,10.006,58.91
268.2350,23,c,58.447,20.002,58.91
268.6110,24,v,60.000,22.578,58.91
270.2200,15,h,67.411,19.993,-65.09
270.9890,16,b,70.002,14.414,-65.09
271.5980,7,s,72.055,9.995,-65.09
274.3150,16,b,77.818,10.003,74.91
275.3640,17,p,80.002,18.106,74.91
275.6100,26,l,80.514,20.006,74.91
278.5020,25,j,79.994,20.424,-153.09
278.6200,16,b,79.152,19.997,-153.09
279.9030,15,h,70.000,15.351,-153.09
281.3050,14,i,59.999,10.274,-153.09
281.3810,5,o,59.457,9.999,-153.09
282.7040,4,d,50.000,5.256,-168.85
283.8860,13,k,42.087,10.003,142.91
284.2140,12,u,39.994,11.585,142.91
285.7810,11,w,29.994,19.144,142.91
285.9590,20,f,28.858,20.003,142.91
287.4000,19,q,19.999,26.526,168.59
287.4880,20,f,20.008,26.675,-157.01
287.5590,19,q,19.994,26.596,-138.21
288.4970,10,a,17.039,19.994,-113.09
289.8550,1,e,12.779,10.000,-113.09
290.6640,0,r,9.997,4.193,-138.21
291.8170,9,y,5.023,10.006,68.35
292.8190,10,a,10.003,16.277,50.91
293.4190,19,q,13.029,20.003,50.91
294.5990,20,f,20.005,24.923,-36.29
295.5370,11,w,25.667,19.998,-41.09
296.2560,12,u,30.002,16.218,-41.09
297.4390,3,n,37.135,9.998,-41.09
297.9150,4,d,40.006,7.495,-41.09
299.5530,5,o,50.003,9.109,42.91
299.7170,14,i,50.964,10.002,42.91
